time;V(v_ov);V(vpow_dc);
1.86301;2.76064;2.78336;
1.87301;2.76064;2.78339;
1.88301;2.76064;2.78348;
1.89301;2.76065;2.78369;
1.90301;2.76066;2.78421;
1.91301;2.76068;2.78551;
1.92301;2.76075;2.78852;
1.93301;2.76089;2.79487;
1.94301;2.76119;2.80634;
1.95301;2.76174;2.82347;
1.96301;2.76263;2.84513;
1.97301;2.76394;2.86978;
1.98301;2.76568;2.8964;
1.99301;2.76789;2.92443;
2.00301;2.77056;2.95348;
2.01301;2.7737;2.98333;
2.02301;2.7773;3.01381;
2.03301;2.78135;3.04479;
2.04301;2.78584;3.07618;
2.05301;2.79077;3.10792;
2.06301;2.79611;3.13997;
2.07301;2.80185;3.17226;
2.08301;2.80798;3.20479;
2.09301;2.81446;3.23752;
2.10301;2.82129;3.27044;
2.11301;2.82845;3.30354;
2.12301;2.83589;3.33681;
2.13301;2.84359;3.37026;
2.14301;2.85151;3.40389;
2.15301;2.85959;3.43771;
2.16301;2.86779;3.47175;
2.17301;2.87604;3.50597;
2.18301;2.88427;3.54035;
2.19301;2.89245;3.57483;
2.20301;2.90055;3.60936;
2.21301;2.90855;3.64393;
2.22301;2.91646;3.67851;
2.23301;2.92425;3.71309;
2.24301;2.93195;3.74766;
2.25301;2.93956;3.78217;
2.26301;2.9471;3.81656;
2.27301;2.95462;3.85071;
2.28301;2.96218;3.88457;
2.29301;2.96988;3.91813;
2.30301;2.9778;3.95147;
2.31301;2.986;3.9847;
2.32301;2.99454;4.01786;
2.33301;3.00343;4.05102;
2.34301;3.01272;4.08421;
2.35301;3.0224;4.11722;
2.36301;3.03241;4.14149;
2.37301;3.0426;4.16167;
2.38301;3.05292;4.18197;
2.39301;3.06338;4.20293;
2.40301;3.07399;4.22505;
2.41301;3.08477;4.24817;
2.42301;3.09574;4.27237;
2.43301;3.10693;4.29744;
2.44301;3.11835;4.32336;
2.45301;3.13001;4.34998;
2.46301;3.14191;4.37727;
2.47083;3.15141;4.39906;
2.47817;3.16047;4.41966;
2.48628;3.17064;4.44285;
2.49145;3.17723;4.46058;
2.49638;3.18361;4.47761;
2.50146;3.19027;4.49513;
2.51146;3.20369;4.52974;
2.52146;3.21749;4.56435;
2.53146;3.23165;4.59899;
2.54146;3.24616;4.63363;
2.55146;3.261;4.66829;
2.56146;3.27616;4.70295;
2.57146;3.29162;4.73762;
2.58146;3.30737;4.77228;
2.59146;3.32339;4.80696;
2.60146;3.33966;4.84164;
2.61146;3.35616;4.87633;
2.62146;3.37286;4.91101;
2.63146;3.38975;4.94571;
2.64146;3.40679;4.9804;
2.65146;3.42396;5.0151;
2.66146;3.44121;5.0498;
2.67146;3.45853;5.08451;
2.68146;3.47587;5.11922;
2.69146;3.49322;5.15393;
2.70146;3.51054;5.18864;
2.71146;3.52782;5.22336;
2.72146;3.54505;5.25806;
2.73146;3.56224;5.29277;
2.74146;3.57933;5.32718;
2.75146;3.58955;5.36138;
2.75868;3.58997;5.38648;
2.76529;3.58956;5.40946;
2.77367;3.58974;5.43858;
2.78367;3.5896;5.47334;
2.79367;3.58967;5.50809;
2.80367;3.58962;5.54285;
2.81367;3.58965;5.57761;
2.82367;3.58964;5.61237;
2.83367;3.58965;5.64713;
2.84367;3.58964;5.6819;
2.85367;3.58964;5.71666;
2.86367;3.58964;5.75143;
2.87367;3.58964;5.7862;
2.88367;3.58964;5.82097;
2.89367;3.58964;5.85574;
2.90367;3.58965;5.89051;
2.91367;3.58964;5.92528;
2.92367;3.58965;5.96006;
2.93367;3.58965;5.99483;
2.94367;3.58965;6.02961;
2.95367;3.58965;6.06439;
2.96367;3.58965;6.09917;
2.97367;3.58965;6.13395;
2.98367;3.58965;6.16873;
2.99367;3.58965;6.20351;
3.00367;3.58965;6.2383;
3.01367;3.58965;6.27308;
3.02367;3.58965;6.30787;
3.03367;3.58965;6.34266;
3.04367;3.58965;6.37745;
3.05367;3.58965;6.41224;
3.06367;3.58965;6.44703;
3.07367;3.58965;6.48182;
3.08367;3.58965;6.51661;
3.09367;3.58965;6.5514;
3.10367;3.58965;6.5862;
3.11367;3.58965;6.62099;
3.12367;3.58965;6.65579;
3.13367;3.58965;6.69059;
3.14367;3.58965;6.72539;
3.15367;3.58965;6.76019;
3.16367;3.58965;6.79499;
3.17367;3.58965;6.82979;
3.18367;3.58965;6.86459;
3.19367;3.58965;6.89939;
3.20367;3.58966;6.9342;
3.21367;3.58966;6.969;
3.22367;3.58966;7.00381;
3.23367;3.58966;7.03861;
3.24367;3.58966;7.07342;
3.25367;3.58966;7.10823;
3.26367;3.58966;7.14304;
3.27367;3.58966;7.17785;
3.28367;3.58966;7.21266;
3.29367;3.58966;7.24747;
3.30367;3.58966;7.28229;
3.31367;3.58966;7.3171;
3.32367;3.58966;7.35191;
3.33367;3.58966;7.38672;
3.34367;3.58966;7.42154;
3.35367;3.58966;7.45636;
3.36367;3.58966;7.49118;
3.37367;3.58966;7.52599;
3.38367;3.58966;7.56081;
3.39367;3.58966;7.59563;
3.40367;3.58966;7.63045;
3.41367;3.58966;7.66527;
3.42367;3.58966;7.70009;
3.43367;3.58966;7.73491;
3.44367;3.58966;7.76974;
3.45367;3.58966;7.80456;
3.46367;3.58966;7.83938;
3.47367;3.58966;7.87421;
3.48367;3.58967;7.90903;
3.49367;3.58967;7.94386;
3.50367;3.58967;7.97869;
3.51367;3.58967;8.01351;
3.52367;3.58967;8.04834;
3.53367;3.58967;8.08317;
3.54367;3.58967;8.118;
3.55367;3.58967;8.15283;
3.56367;3.58967;8.18766;
3.57367;3.58967;8.22249;
3.58367;3.58967;8.25732;
3.59367;3.58967;8.29216;
3.60367;3.58967;8.32699;
3.61367;3.58967;8.36182;
3.62367;3.58967;8.39666;
3.63367;3.58967;8.43149;
3.64367;3.58967;8.46633;
3.65367;3.58967;8.50116;
3.66367;3.58967;8.536;
3.67367;3.58967;8.57084;
3.68367;3.58967;8.60568;
3.69367;3.58967;8.64051;
3.70367;3.58967;8.67536;
3.71367;3.58967;8.71019;
3.72367;3.58967;8.74504;
3.73367;3.58967;8.77987;
3.74367;3.58967;8.81472;
3.75367;3.58967;8.84956;
3.76367;3.58967;8.8844;
3.77367;3.58967;8.91924;
3.78367;3.58968;8.95409;
3.79367;3.58968;8.98893;
3.80367;3.58968;9.02378;
3.81367;3.58968;9.05862;
3.82367;3.58968;9.09347;
3.83367;3.58968;9.12831;
3.84367;3.58968;9.16316;
3.85367;3.58968;9.198;
3.86367;3.58968;9.23285;
3.87367;3.58968;9.2677;
3.88367;3.58968;9.30255;
3.89367;3.58968;9.3374;
3.90367;3.58968;9.37225;
3.91367;3.58968;9.4071;
3.92367;3.58968;9.44195;
3.93367;3.58968;9.4768;
3.94367;3.58968;9.51165;
3.95367;3.58968;9.5465;
3.96367;3.58968;9.58136;
3.97367;3.58968;9.61621;
3.98367;3.58968;9.65106;
3.99367;3.58968;9.68592;
4.00367;3.58969;9.72077;
4.01367;3.58969;9.75562;
4.02367;3.5897;9.79048;
4.03367;3.5897;9.82533;
4.04367;3.58971;9.86019;
4.05367;3.58972;9.89504;
4.06367;3.58972;9.9299;
4.07367;3.58973;9.96476;
4.08367;3.58974;9.99962;
4.09367;3.58975;10.0345;
4.10367;3.58975;10.0693;
4.11367;3.58976;10.1042;
4.12367;3.58977;10.139;
4.13367;3.58978;10.1739;
4.14367;3.58979;10.2088;
4.15367;3.5898;10.2436;
4.16367;3.58981;10.2785;
4.17367;3.58981;10.3133;
4.18367;3.58982;10.3482;
4.19367;3.58983;10.3831;
4.20367;3.58984;10.4179;
4.21367;3.58985;10.4528;
4.22367;3.58986;10.4877;
4.23367;3.58987;10.5225;
4.24367;3.58987;10.5574;
4.25367;3.58988;10.5922;
4.26367;3.58989;10.6271;
4.27367;3.5899;10.662;
4.28367;3.58991;10.6968;
4.29367;3.58992;10.7317;
4.30367;3.58993;10.7666;
4.31367;3.58994;10.8014;
4.32367;3.58994;10.8363;
4.33367;3.58995;10.8712;
4.34367;3.58996;10.906;
4.35367;3.58997;10.9409;
4.36367;3.58998;10.9758;
4.37367;3.58999;11.0106;
4.38367;3.59;11.0455;
4.39367;3.59001;11.0804;
4.40367;3.59001;11.1153;
4.41367;3.59002;11.1501;
4.42367;3.59003;11.185;
4.43367;3.59004;11.2199;
4.44367;3.59005;11.2547;
4.45367;3.59006;11.2896;
4.46367;3.59007;11.3245;
4.47367;3.59008;11.3593;
4.48367;3.59008;11.3942;
4.49367;3.59009;11.4291;
4.50367;3.5901;11.464;
4.51367;3.59011;11.4988;
4.52367;3.59012;11.5337;
4.53367;3.59013;11.5686;
4.54367;3.59014;11.6035;
4.55367;3.59015;11.6383;
4.56367;3.59015;11.6732;
4.57367;3.59016;11.7081;
4.58367;3.59017;11.743;
4.59367;3.59018;11.7778;
4.60367;3.59019;11.8127;
4.61367;3.5902;11.8476;
4.62367;3.59021;11.8825;
4.63367;3.59022;11.9173;
4.64367;3.59023;11.9522;
4.65367;3.59023;11.9871;
4.66367;3.59024;12.022;
4.67367;3.59025;12.0569;
4.68367;3.59026;12.0917;
4.69367;3.59027;12.1266;
4.70367;3.59028;12.1615;
4.71367;3.59029;12.1964;
4.72367;3.5903;12.2313;
4.73367;3.5903;12.2661;
4.74367;3.59031;12.301;
4.75367;3.59032;12.3359;
4.76367;3.59033;12.3708;
4.77367;3.59034;12.4057;
4.78367;3.59035;12.4405;
4.79367;3.59036;12.4754;
4.80367;3.59037;12.5103;
4.81367;3.59037;12.5452;
4.82367;3.59038;12.5801;
4.83367;3.59039;12.6149;
4.84367;3.5904;12.6498;
4.85367;3.59041;12.6847;
4.86367;3.59042;12.7196;
4.87367;3.59043;12.7545;
4.88367;3.59044;12.7894;
4.89367;3.59044;12.8242;
4.90367;3.59045;12.8591;
4.91367;3.59046;12.894;
4.92367;3.59047;12.9289;
4.93367;3.59048;12.9638;
4.94367;3.59049;12.9987;
4.95367;3.5905;13.0336;
4.96367;3.59051;13.0684;
4.97367;3.59051;13.1033;
4.98367;3.59052;13.1382;
4.99367;3.59053;13.1731;
5.00367;3.59054;13.208;
5.01367;3.59055;13.2429;
5.02367;3.59056;13.2778;
5.03367;3.59057;13.3127;
5.04367;3.59058;13.3475;
5.05367;3.59058;13.3824;
5.06367;3.59059;13.4173;
5.07367;3.5906;13.4522;
5.08367;3.59061;13.4871;
5.09367;3.59062;13.522;
5.10367;3.59063;13.5569;
5.11367;3.59064;13.5918;
5.12367;3.59065;13.6267;
5.13367;3.59065;13.6616;
5.14367;3.59066;13.6964;
5.15367;3.59067;13.7313;
5.16367;3.59068;13.7662;
5.17367;3.59069;13.8011;
5.18367;3.5907;13.836;
5.19367;3.59071;13.8709;
5.20367;3.59072;13.9058;
5.21367;3.59072;13.9407;
5.22367;3.59073;13.9756;
5.23367;3.59074;14.0105;
5.24367;3.59075;14.0454;
5.25367;3.59076;14.0803;
5.26367;3.59077;14.1152;
5.27367;3.59078;14.15;
5.28367;3.59079;14.1849;
5.29367;3.59079;14.2198;
5.30367;3.5908;14.2547;
5.31367;3.59081;14.2896;
5.32367;3.59082;14.3245;
5.33367;3.59083;14.3594;
5.34367;3.59084;14.3943;
5.35367;3.59085;14.4292;
5.36367;3.59085;14.4641;
5.37367;3.59086;14.499;
5.38367;3.59087;14.5339;
5.39367;3.59088;14.5688;
5.40367;3.59089;14.6037;
5.41367;3.5909;14.6386;
5.42367;3.59091;14.6735;
5.43367;3.59092;14.7084;
5.44367;3.59092;14.7433;
5.45367;3.59093;14.7782;
5.46367;3.59094;14.8131;
5.47367;3.59095;14.848;
5.48367;3.59096;14.8829;
5.49367;3.59097;14.9178;
5.50367;3.59098;14.9527;
5.51367;3.59099;14.9876;
5.52367;3.59099;15.0225;
5.53367;3.591;15.0574;
5.54367;3.59101;15.0923;
5.55367;3.59102;15.1272;
5.56367;3.59103;15.1621;
5.57367;3.59104;15.197;
5.58367;3.59105;15.2319;
5.59367;3.59105;15.2668;
5.60367;3.59106;15.3017;
5.61367;3.59107;15.3366;
5.62367;3.59108;15.3715;
5.63367;3.59109;15.4064;
5.64367;3.5911;15.4413;
5.65367;3.59111;15.4762;
5.66367;3.59112;15.5111;
5.67367;3.59112;15.546;
5.68367;3.59113;15.5809;
5.69367;3.59114;15.6158;
5.70367;3.59115;15.6507;
5.71367;3.59116;15.6856;
5.72367;3.59117;15.7205;
5.73367;3.59118;15.7554;
5.74367;3.59119;15.7903;
5.75367;3.5912;15.8252;
5.76367;3.5912;15.8601;
5.77367;3.59121;15.895;
5.78367;3.59122;15.9299;
5.79367;3.59123;15.9648;
5.80367;3.59124;15.9997;
5.81367;3.59125;16.0346;
5.82367;3.59126;16.0695;
5.83367;3.59127;16.1044;
5.84367;3.59128;16.1393;
5.85367;3.59129;16.1742;
5.86367;3.59129;16.2091;
5.87367;3.5913;16.244;
5.88367;3.59131;16.2789;
5.89367;3.59132;16.3138;
5.90367;3.59133;16.3488;
5.91367;3.59134;16.3837;
5.92367;3.59135;16.4186;
5.93367;3.59136;16.4535;
